"","tournament","prize","surface","round","p1_rank","p2_rank","p1_rank_move","p2_rank_move","p1_age","p2_age","p1_height","p2_height","p1_weight","p2_weight","p1_hand","p2_hand","p1_nat","p2_nat","no_sets","best_of"
"1","Brisbane",0.00113275940190304,"Carpet","Finals",0.00961538461538462,0.0549397590361446,0.429545454545455,0.400200601805416,0.526315789473684,0.684210526315789,0.285714285714286,0.833333333333333,0.142857142857143,0.742857142857143,"Right","Right","USA","America","X3","3"
"2","Brisbane",0.00113275940190304,"Carpet","SemiFinals",0.00961538461538462,0.0448192771084337,0.429545454545455,0.406218655967904,0.526315789473684,0.526315789473684,0.285714285714286,1,0.142857142857143,0.942857142857143,"Right","Right","USA","USA","X3","3"
"3","Brisbane",0.00113275940190304,"Carpet","SemiFinals",0.0685096153846154,0.0279518072289157,0.416666666666667,0.401203610832498,0.684210526315789,0.473684210526316,0.714285714285714,0.766666666666667,0.714285714285714,0.457142857142857,"Right","Right","America","USA","X2","3"
"4","Brisbane",0.00113275940190304,"Carpet","QuarterFinals",0.00961538461538462,0.0240963855421687,0.429545454545455,0.411735205616851,0.526315789473684,0.368421052631579,0.285714285714286,0.566666666666667,0.142857142857143,0.571428571428571,"Right","Left","USA","USA","X2","3"
"5","Brisbane",0.00113275940190304,"Carpet","QuarterFinals",0.0348557692307692,0.051566265060241,0.418181818181818,0.428786359077232,0.473684210526316,0.421052631578947,0.657142857142857,0.566666666666667,0.428571428571429,0.628571428571429,"Right","Right","USA","USA","X3","3"
"6","Brisbane",0.00113275940190304,"Carpet","QuarterFinals",0.0685096153846154,0.0491566265060241,0.416666666666667,0.44383149448345,0.684210526315789,0.473684210526316,0.714285714285714,0.4,0.714285714285714,0.371428571428571,"Right","Left","America","USA","X3","3"
"7","Brisbane",0.00113275940190304,"Carpet","QuarterFinals",0.0558894230769231,0.0520481927710843,0.425757575757576,0.416750250752257,0.526315789473684,0.157894736842105,0.857142857142857,0.166666666666667,0.914285714285714,0.371428571428571,"Right","Right","USA","Oceania","X2","3"
"8","Brisbane",0.00113275940190304,"Carpet","Roundof16",0.00961538461538462,0.0539759036144578,0.429545454545455,0.407221664994985,0.526315789473684,0.526315789473684,0.285714285714286,0.766666666666667,0.142857142857143,0.571428571428571,"Right","Right","USA","USA","X2","3"
"9","Brisbane",0.00113275940190304,"Carpet","Roundof16",0.0643028846153846,0.0134939759036145,0.459848484848485,0.416750250752257,0.421052631578947,0.368421052631579,0.485714285714286,0.566666666666667,0.6,0.485714285714286,"Right","Right","USA","USA","X3","3"
"10","Brisbane",0.00113275940190304,"Carpet","Roundof16",0.0612980769230769,0.0178313253012048,0.482575757575758,0.407723169508526,0.473684210526316,0.736842105263158,0.342857142857143,0.933333333333333,0.342857142857143,0.628571428571429,"Left","Right","USA","USA","X2","3"
"11","Brisbane",0.00113275940190304,"Carpet","Roundof16",0.0649038461538462,0.0187951807228916,0.441666666666667,0.409227683049147,0.157894736842105,0.421052631578947,0.142857142857143,0.5,0.342857142857143,0.428571428571429,"Right","Right","Oceania","Oceania","X2","3"
"12","Brisbane",0.00113275940190304,"Carpet","Roundof16",0.0300480769230769,0.0645783132530121,0.434090909090909,0.445336008024072,0.368421052631579,0.368421052631579,0.485714285714286,0.566666666666667,0.542857142857143,0.485714285714286,"Left","Left","USA","USA","X3","3"
"13","Brisbane",0.00113275940190304,"Carpet","Roundof16",0.0348557692307692,0.0674698795180723,0.418181818181818,0.421263791374122,0.473684210526316,0.368421052631579,0.657142857142857,0.566666666666667,0.428571428571429,0.485714285714286,"Right","Left","USA","USA","X2","3"
"14","Brisbane",0.00113275940190304,"Carpet","Roundof16",0.0685096153846154,0.0409638554216867,0.416666666666667,0.404212637913741,0.684210526315789,0.736842105263158,0.714285714285714,0.566666666666667,0.714285714285714,0.685714285714286,"Right","Right","America","Oceania","X2","3"
"15","Brisbane",0.00113275940190304,"Carpet","Roundof16",0.0558894230769231,0.0612048192771084,0.425757575757576,0.409227683049147,0.526315789473684,0.157894736842105,0.857142857142857,0.566666666666667,0.914285714285714,0.428571428571429,"Right","Right","USA","Oceania","X2","3"
"16","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.00961538461538462,0.125301204819277,0.429545454545455,0.400200601805416,0.526315789473684,0.842105263157895,0.285714285714286,0.4,0.142857142857143,0.8,"Right","Right","USA","Oceania","X2","3"
"17","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0168269230769231,0.0472289156626506,0.441666666666667,0.412738214643932,0.368421052631579,0.894736842105263,0.485714285714286,0.766666666666667,0.457142857142857,0.571428571428571,"Right","Right","USA","Oceania","X2","3"
"18","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0222355769230769,0.185542168674699,0.428030303030303,0.456369107321966,0.736842105263158,0.509925157854391,0.8,0.573304107809709,0.6,0.511469987352855,"Right","Right","USA","Oceania","X2","3"
"19","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0234375,0.0462650602409639,0.43030303030303,0.410732196589769,0.421052631578947,0.315789473684211,0.428571428571429,0.666666666666667,0.4,0.571428571428571,"Right","Right","Oceania","Oceania","X3","3"
"20","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0300480769230769,0.0457831325301205,0.434090909090909,0.425777331995988,0.368421052631579,0.473684210526316,0.485714285714286,0.333333333333333,0.542857142857143,0.171428571428571,"Left","Right","USA","USA","X2","3"
"21","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0685096153846154,0.0289156626506024,0.416666666666667,0.405215646940822,0.684210526315789,0.263157894736842,0.714285714285714,0.4,0.714285714285714,0.4,"Right","Right","America","Oceania","X2","3"
"22","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0348557692307692,0.111325301204819,0.418181818181818,0.413239719157472,0.473684210526316,0.105263157894737,0.657142857142857,0.233333333333333,0.428571428571429,0.657142857142857,"Right","Left","USA","Oceania","X2","3"
"23","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0673076923076923,0.219277108433735,0.427272727272727,0.40320962888666,0.526315789473684,0.421052631578947,0.657142857142857,0.766666666666667,0.542857142857143,0.571428571428571,"Right","Right","USA","Oceania","X2","3"
"24","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0805288461538462,0.131084337349398,0.484848484848485,0.42728184553661,0.368421052631579,0.526315789473684,0.485714285714286,0.666666666666667,0.457142857142857,0.6,"Left","Right","USA","Oceania","X2","3"
"25","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0510817307692308,0.0587951807228916,0.422727272727273,0.394182547642929,0.736842105263158,0.473684210526316,0.485714285714286,0.166666666666667,0.657142857142857,0.114285714285714,"Right","Right","Oceania","USA","X3","3"
"26","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0649038461538462,0.149397590361446,0.441666666666667,0.417251755265797,0.157894736842105,0.315789473684211,0.142857142857143,0.166666666666667,0.342857142857143,0.228571428571429,"Right","Left","Oceania","Oceania","X3","3"
"27","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0558894230769231,0.109879518072289,0.425757575757576,0.414242728184554,0.526315789473684,0.157894736842105,0.857142857142857,0.566666666666667,0.914285714285714,0.485714285714286,"Right","Right","USA","USA","X2","3"
"28","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0841346153846154,0.100722891566265,0.448484848484848,0.412738214643932,0.368421052631579,0.421052631578947,0.485714285714286,0.4,0.457142857142857,0.657142857142857,"Left","Left","USA","Oceania","X2","3"
"29","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0612980769230769,0.0626506024096386,0.482575757575758,0.417753259779338,0.473684210526316,0.368421052631579,0.342857142857143,0.833333333333333,0.342857142857143,0.485714285714286,"Left","Right","USA","USA","X2","3"
